                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5175,                 6.8917,                 1.6864,                0.49972,                0.08833,                 0.0681,                0.02403,                 1.8641,                 16.408,                 2.2637,             0.00047079,             0.00047079,             0.00047079
                      2,                  1.587,                 5.0229,                 1.7875,                0.80208,                  0.081,                0.13041,                0.06301,                 1.6084,                 53.401,                 2.3609,             0.00092034,             0.00092034,             0.00092034
                      3,                 1.6736,                 4.2531,                 1.8697,                0.46627,                0.21158,                0.07318,                0.02413,                 1.8646,                 8.8124,                 2.3219,              0.0013429,              0.0013429,              0.0013429
                      4,                 1.7938,                 3.6828,                 1.9526,                 0.4866,                0.17429,                0.11177,                0.03405,                 1.6617,                 26.289,                 2.2529,              0.0013077,              0.0013077,              0.0013077
                      5,                 1.6503,                 3.6245,                 1.8126,                0.78354,                0.21062,                0.16414,                0.09008,                 1.6584,                 5.9021,                 2.0793,              0.0013077,              0.0013077,              0.0013077
                      6,                 1.6625,                 3.0335,                 1.7841,                0.55495,                0.32152,                0.22786,                0.11459,                 1.5393,                 5.4246,                 1.8346,              0.0012673,              0.0012673,              0.0012673
                      7,                 1.7242,                 2.8007,                 1.8309,                0.82221,                0.17757,                0.15808,                  0.075,                 1.5552,                 5.5162,                 1.9447,              0.0012269,              0.0012269,              0.0012269
                      8,                   1.45,                 2.6304,                 1.6129,                0.67026,                0.40297,                   0.36,                0.20839,                 1.4038,                 2.6565,                 1.6997,              0.0011865,              0.0011865,              0.0011865
                      9,                 1.4546,                 2.5579,                 1.6347,                0.66356,                0.33639,                0.33024,                0.20477,                 1.3351,                 2.2965,                 1.6576,              0.0011461,              0.0011461,              0.0011461
                     10,                  1.478,                 2.5078,                 1.6448,                0.88309,                0.24299,                0.30572,                0.18341,                 1.4687,                 3.7658,                 1.8125,              0.0011056,              0.0011056,              0.0011056
                     11,                 1.4016,                 2.3394,                 1.5876,                0.62689,                0.37847,                0.32666,                0.19968,                 1.3166,                   8.23,                 1.6666,              0.0010652,              0.0010652,              0.0010652
                     12,                 1.3815,                 2.3108,                 1.5607,                0.61106,                0.42189,                  0.422,                0.25967,                 1.2294,                 2.8209,                  1.577,              0.0010248,              0.0010248,              0.0010248
                     13,                  1.314,                 2.3518,                 1.5125,                0.75243,                0.36789,                0.40233,                 0.2643,                 1.1454,                 2.3187,                 1.4662,             0.00098438,             0.00098438,             0.00098438
                     14,                 1.2965,                 2.3001,                 1.5067,                0.73092,                0.39042,                0.46621,                0.30726,                 1.1309,                 2.7629,                 1.4757,             0.00094396,             0.00094396,             0.00094396
                     15,                 1.2586,                 2.1831,                 1.4927,                0.72937,                0.43279,                0.46804,                0.30522,                 1.1119,                 2.0507,                 1.4686,             0.00090354,             0.00090354,             0.00090354
                     16,                 1.2898,                 2.3378,                 1.5111,                 0.6955,                0.43296,                0.44518,                0.28898,                  1.203,                 1.8822,                 1.5006,             0.00086312,             0.00086312,             0.00086312
                     17,                 1.2594,                 2.0884,                 1.4509,                0.81762,                0.45493,                0.56938,                0.39117,                 1.0079,                 1.8856,                 1.3048,              0.0008227,              0.0008227,              0.0008227
                     18,                 1.2635,                 2.0346,                 1.4684,                0.80674,                0.38133,                0.50431,                0.33267,                 1.1483,                 2.6972,                 1.4476,             0.00078228,             0.00078228,             0.00078228
                     19,                 1.2579,                 2.0108,                 1.4479,                0.77368,                0.47594,                0.50863,                0.35302,                0.98683,                 2.1267,                 1.3184,             0.00074186,             0.00074186,             0.00074186
                     20,                 1.2306,                  2.105,                 1.4525,                0.79572,                0.44633,                0.58928,                0.40379,                  1.029,                 2.0175,                 1.3367,             0.00070143,             0.00070143,             0.00070143
                     21,                 1.1574,                 1.8479,                 1.4096,                0.60489,                 0.6114,                0.60865,                0.43874,                0.96582,                 1.4737,                 1.2933,             0.00066101,             0.00066101,             0.00066101
                     22,                 1.1601,                 1.8726,                 1.4305,                0.82872,                0.47668,                0.59914,                0.44556,                0.90659,                 1.6634,                 1.2457,             0.00062059,             0.00062059,             0.00062059
                     23,                 1.1349,                 1.8268,                    1.4,                0.55569,                0.71031,                0.67702,                 0.4941,                0.92167,                 1.3198,                 1.2712,             0.00058017,             0.00058017,             0.00058017
                     24,                 1.1571,                 1.7934,                 1.3824,                0.63345,                0.65332,                0.68434,                0.49373,                0.88749,                  1.737,                 1.2324,             0.00053975,             0.00053975,             0.00053975
                     25,                 1.1012,                 1.7041,                 1.3592,                0.65669,                0.65346,                0.68262,                0.51484,                0.86475,                 1.4624,                  1.214,             0.00049933,             0.00049933,             0.00049933
                     26,                 1.1225,                 1.8926,                 1.4497,                0.67057,                0.68415,                0.71416,                0.55998,                 0.8214,                 1.4794,                 1.1686,             0.00045891,             0.00045891,             0.00045891
                     27,                 0.9169,                 1.7526,                 1.2469,                0.67052,                0.59814,                0.67144,                0.51521,                0.83826,                 1.9367,                 1.1856,             0.00041849,             0.00041849,             0.00041849
                     28,                 1.0195,                 1.5441,                 1.3561,                0.65433,                0.71432,                0.70963,                0.54164,                0.89693,                 1.2854,                 1.2685,             0.00037807,             0.00037807,             0.00037807
                     29,                  1.024,                 1.6452,                  1.358,                0.70151,                0.68888,                0.73116,                0.57107,                0.80397,                 1.7447,                 1.1579,             0.00033765,             0.00033765,             0.00033765
                     30,                0.98689,                 1.5083,                 1.3602,                0.65642,                0.75896,                0.74419,                0.58845,                0.77778,                 1.1195,                 1.1221,             0.00029723,             0.00029723,             0.00029723
                     31,                0.84447,                 1.2487,                 1.1853,                0.69503,                0.76268,                0.78018,                 0.6415,                0.75437,                 1.0757,                 1.1077,             0.00025681,             0.00025681,             0.00025681
                     32,                0.86138,                 1.2747,                 1.2185,                0.71469,                0.72796,                0.78261,                0.63606,                0.72716,                 1.0839,                 1.0862,             0.00021639,             0.00021639,             0.00021639
                     33,                0.90036,                 1.3517,                 1.2761,                0.73011,                0.79704,                0.80813,                0.67374,                0.67833,                 1.1198,                 1.0452,             0.00017597,             0.00017597,             0.00017597
                     34,                0.83763,                 1.2934,                 1.2056,                0.77176,                0.75836,                0.80981,                0.67224,                0.67804,                 1.0419,                 1.0385,             0.00013555,             0.00013555,             0.00013555
                     35,                0.74326,                 1.2811,                 1.1478,                0.78829,                0.77624,                0.82993,                0.69996,                0.65765,                0.93192,                 1.0276,             9.5131e-05,             9.5131e-05,             9.5131e-05
