                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1511,                 4.4838,                 1.3615,                 0.5039,                0.44677,                0.45007,                0.18099,                 1.8969,                 3.0623,                 1.2628,             0.00066176,             0.00066176,             0.00066176
                      2,                 2.0095,                 2.7471,                 1.3239,                0.49619,                0.55323,                0.51307,                0.21988,                 1.9229,                 2.3576,                 1.3497,              0.0012909,              0.0012909,              0.0012909
                      3,                 2.0208,                 2.1187,                 1.3255,                0.52134,                0.54304,                0.54153,                 0.2167,                 1.9429,                 2.4146,                  1.371,              0.0018822,              0.0018822,              0.0018822
                      4,                  1.964,                 1.9156,                  1.325,                0.45235,                 0.5215,                0.46289,                0.19049,                 1.9575,                 2.6003,                  1.365,              0.0018303,              0.0018303,              0.0018303
                      5,                  1.946,                 1.8095,                 1.3036,                0.59135,                0.55379,                 0.5784,                0.26368,                 1.8768,                 1.7916,                  1.334,              0.0018303,              0.0018303,              0.0018303
                      6,                 1.9469,                 1.7114,                  1.305,                 0.6136,                0.60068,                0.62348,                0.24592,                 1.9745,                  1.522,                 1.3456,              0.0017737,              0.0017737,              0.0017737
                      7,                 1.9243,                 1.6654,                 1.2778,                0.58443,                0.55424,                0.58658,                0.24316,                 1.9522,                 1.6391,                 1.3375,              0.0017171,              0.0017171,              0.0017171
                      8,                 1.8859,                 1.5984,                 1.2582,                0.65358,                0.61325,                0.64822,                0.26805,                 1.8985,                 2.1054,                 1.3524,              0.0016606,              0.0016606,              0.0016606
                      9,                  1.876,                 1.5298,                 1.2719,                0.72417,                0.68856,                0.74816,                 0.3172,                 1.8685,                 1.4194,                 1.3129,               0.001604,               0.001604,               0.001604
                     10,                 1.8595,                 1.5265,                  1.265,                 0.7012,                0.68569,                0.74518,                 0.3261,                 1.8934,                 1.2793,                 1.3298,              0.0015474,              0.0015474,              0.0015474
                     11,                 1.8532,                 1.4387,                 1.2467,                0.68625,                0.70159,                0.74995,                0.35106,                 1.7699,                  1.285,                 1.2614,              0.0014909,              0.0014909,              0.0014909
                     12,                 1.8378,                 1.3881,                 1.2307,                 0.6957,                0.67214,                0.71534,                0.28408,                 1.9241,                 1.4219,                 1.3346,              0.0014343,              0.0014343,              0.0014343
                     13,                 1.8188,                 1.3805,                 1.2244,                0.60617,                0.64383,                0.63585,                0.26262,                 1.9616,                  1.557,                 1.3701,              0.0013777,              0.0013777,              0.0013777
                     14,                 1.8279,                 1.3409,                 1.2131,                0.76514,                0.74915,                0.80067,                0.39138,                 1.7629,                 1.1321,                 1.2574,              0.0013211,              0.0013211,              0.0013211
                     15,                 1.7923,                 1.2954,                 1.2047,                0.72641,                0.72918,                0.76502,                0.33462,                 1.8411,                 1.4847,                  1.303,              0.0012646,              0.0012646,              0.0012646
                     16,                 1.7727,                 1.3194,                 1.2054,                0.79572,                0.77198,                0.83478,                0.37617,                 1.8792,                 1.1691,                 1.2788,               0.001208,               0.001208,               0.001208
                     17,                 1.7716,                 1.2675,                 1.1949,                0.77497,                0.78256,                0.82342,                0.38863,                 1.7212,                 1.1727,                 1.2315,              0.0011514,              0.0011514,              0.0011514
                     18,                 1.7933,                 1.2805,                 1.1821,                0.82408,                0.81484,                0.86978,                0.43804,                 1.6982,                 1.1066,                 1.2165,              0.0010949,              0.0010949,              0.0010949
                     19,                 1.7474,                 1.2455,                   1.17,                0.80844,                 0.8171,                0.87351,                0.43822,                 1.6955,                 1.0527,                 1.2197,              0.0010383,              0.0010383,              0.0010383
                     20,                 1.7524,                 1.1905,                 1.1773,                0.82928,                0.81937,                0.87693,                0.43793,                 1.6971,                 1.0183,                 1.2152,             0.00098171,             0.00098171,             0.00098171
                     21,                 1.7155,                 1.1741,                 1.1664,                0.81452,                0.81257,                 0.8643,                0.43712,                 1.6759,                  1.079,                 1.2163,             0.00092514,             0.00092514,             0.00092514
                     22,                 1.7418,                 1.1483,                 1.1857,                 0.8278,                0.82843,                0.88003,                0.45729,                 1.6569,                0.99201,                 1.2031,             0.00086857,             0.00086857,             0.00086857
                     23,                 1.6969,                 1.1395,                 1.1713,                0.80315,                0.81323,                0.85543,                0.42559,                 1.6938,                 1.1326,                 1.2276,               0.000812,               0.000812,               0.000812
                     24,                 1.6806,                 1.1299,                 1.1628,                0.85648,                0.85156,                0.90626,                0.47376,                 1.6281,                0.95452,                 1.1827,             0.00075543,             0.00075543,             0.00075543
                     25,                 1.6763,                 1.0894,                 1.1437,                0.85481,                0.84315,                0.90618,                0.45627,                 1.6482,                0.99026,                 1.1931,             0.00069886,             0.00069886,             0.00069886
                     26,                 1.6995,                 1.0894,                 1.1811,                0.85036,                0.85594,                0.90673,                0.47892,                 1.6462,                0.94173,                  1.188,             0.00064229,             0.00064229,             0.00064229
                     27,                 1.6739,                 1.0648,                 1.1803,                0.87022,                 0.8543,                0.91796,                0.48747,                 1.6051,                0.90554,                 1.1799,             0.00058571,             0.00058571,             0.00058571
                     28,                 1.6754,                 1.0484,                  1.171,                0.86054,                0.86654,                 0.9168,                0.49196,                 1.6101,                0.96141,                 1.1824,             0.00052914,             0.00052914,             0.00052914
                     29,                 1.6403,                  1.047,                 1.1826,                0.86004,                0.87203,                0.91927,                0.48859,                 1.6003,                0.91808,                  1.173,             0.00047257,             0.00047257,             0.00047257
                     30,                 1.6399,                0.99566,                 1.1707,                0.90192,                 0.8624,                0.93336,                0.51504,                 1.5799,                0.86538,                 1.1697,               0.000416,               0.000416,               0.000416
                     31,                 1.6522,                 0.9713,                  1.168,                0.89006,                0.88019,                0.92949,                0.51637,                 1.5791,                0.83605,                 1.1648,             0.00035943,             0.00035943,             0.00035943
                     32,                 1.6329,                0.97214,                   1.16,                0.88295,                0.88958,                0.93833,                0.51559,                 1.5643,                0.85127,                 1.1596,             0.00030286,             0.00030286,             0.00030286
                     33,                 1.6056,                0.95592,                  1.146,                0.89898,                0.89185,                0.94454,                0.53114,                 1.5562,                0.78477,                 1.1513,             0.00024629,             0.00024629,             0.00024629
                     34,                  1.593,                 0.9426,                 1.1501,                0.89434,                0.89128,                0.94198,                0.52957,                 1.5468,                0.79937,                 1.1462,             0.00018971,             0.00018971,             0.00018971
                     35,                 1.5705,                0.92449,                 1.1277,                 0.9006,                0.90147,                0.94775,                0.53306,                 1.5413,                 0.7835,                 1.1452,             0.00013314,             0.00013314,             0.00013314
